Matrix size,Block size,num_threads,seq_time,seq_performance,par_for_time,par_for_performance,par_task_wait,par_task_wait_performance,par_task_deps_time,par_task_deps_performance
1000,10,2,40.618999,8.206340,24.749994,13.468017,42.797001,7.788708,42.883991,7.772908
1000,10,2,41.262001,8.078458,24.282038,13.727568,42.971016,7.757167,42.886017,7.772541
1000,10,2,50.841988,6.556261,47.194004,7.063044,44.577003,7.477697,50.867020,6.553034
1000,10,2,42.160000,7.906388,24.852999,13.412198,42.554005,7.833183,42.646008,7.816285
1000,10,2,41.822018,7.970284,24.156004,13.799191,42.634010,7.818484,43.491005,7.664420
1000,10,2,41.647972,8.003592,24.339020,13.695430,44.553993,7.481559,44.568001,7.479208
1000,10,2,42.485001,7.845907,24.994968,13.336017,43.388962,7.682446,44.227005,7.536873
1000,10,4,41.644035,8.004347,20.562946,16.210388,44.492004,7.491982,43.786942,7.612619
1000,10,4,41.730999,7.987667,20.558998,16.213501,43.803989,7.609657,42.745991,7.798002
1000,10,4,41.579010,8.016866,21.144003,15.764912,44.371994,7.512246,43.365002,7.686690
1000,10,4,43.684006,7.630558,21.606028,15.427794,46.341003,7.193054,45.394005,7.343114
1000,10,4,40.991009,8.131865,20.720005,16.087513,44.153988,7.549337,43.456017,7.670591
1000,10,4,42.554001,7.833184,21.066002,15.823283,44.165009,7.547453,42.899998,7.770009
1000,10,4,41.429996,8.045700,21.092981,15.803045,43.778004,7.614174,42.715012,7.803658
1000,10,6,41.285992,8.073764,28.187990,11.825367,46.545029,7.161524,43.826996,7.605662
1000,10,6,40.848969,8.160140,28.908968,11.530447,46.084999,7.233011,42.706013,7.805302
1000,10,6,40.730000,8.183976,28.021931,11.895445,47.502995,7.017101,45.198917,7.374808
1000,10,6,54.770008,6.086056,27.723015,12.023705,46.912998,7.105351,43.244003,7.708198
1000,10,6,41.453987,8.041044,27.894974,11.949584,46.481968,7.171240,43.473961,7.667425
1000,10,6,41.414978,8.048618,28.526962,11.684853,46.298981,7.199583,42.978050,7.755898
1000,10,6,42.487980,7.845356,28.293968,11.781075,47.123074,7.073676,42.986034,7.754457
1000,10,8,47.813026,6.971601,26.975037,12.357104,47.815979,6.971170,43.806015,7.609305
1000,10,8,42.060017,7.925183,24.694025,13.498542,46.576977,7.156611,43.341042,7.690940
1000,10,8,41.890980,7.957163,25.792004,12.923903,49.646019,6.714200,44.760941,7.446969
1000,10,8,41.951984,7.945591,25.514990,13.064216,47.196983,7.062598,43.730019,7.622529
1000,10,8,50.094994,6.654025,25.429010,13.108388,46.621979,7.149704,43.824017,7.606179
1000,10,8,41.754005,7.983266,24.899006,13.387415,50.338982,6.621773,55.295052,6.028267
1000,10,8,44.735996,7.451121,24.857000,13.410039,46.488003,7.170309,43.696003,7.628463
1000,10,10,41.868984,7.961343,182.524033,1.826244,46.083988,7.233171,42.777954,7.792175
1000,10,10,42.547001,7.834473,182.335007,1.828137,48.590004,6.860121,43.345989,7.690062
1000,10,10,42.024971,7.931792,184.782028,1.803927,47.427952,7.028204,42.922974,7.765849
1000,10,10,41.495026,8.033092,227.212967,1.467052,46.534061,7.163212,43.329956,7.692908
1000,10,10,41.498989,8.032324,183.622986,1.815314,46.845020,7.115662,42.930008,7.764577
1000,10,10,41.449009,8.042009,183.461960,1.816907,45.058014,7.397871,46.351074,7.191491
1000,10,10,42.575001,7.829320,185.770004,1.794333,49.998016,6.666931,43.181004,7.719444
1000,10,2,40.785999,8.172739,24.991005,13.338132,42.605995,7.823625,42.676003,7.810791
1000,10,2,41.033981,8.123348,24.242043,13.750216,42.882980,7.773092,43.228031,7.711046
1000,10,2,41.595043,8.013776,26.279032,12.684384,42.684017,7.809324,42.743980,7.798369
1000,10,2,41.899010,7.955637,24.509996,13.599894,44.483006,7.493498,44.407993,7.506156
1000,10,2,41.473984,8.037167,24.219006,13.763295,42.860001,7.777259,45.197994,7.374959
1000,10,2,41.127979,8.104782,24.316013,13.708387,43.030975,7.746357,43.347000,7.689882
1000,10,2,40.867031,8.156534,24.604023,13.547920,43.018997,7.748515,43.284058,7.701065
1000,10,4,40.674984,8.195045,23.083031,14.440622,44.489025,7.492485,43.946983,7.584897
1000,10,4,40.791000,8.171737,20.538994,16.229292,44.542999,7.483406,42.710007,7.804572
1000,10,4,41.327000,8.065752,20.527988,16.237993,43.952019,7.584028,42.948006,7.761322
