Matrix size,Block size,num_threads,seq_time,seq_performance,par_for_time,par_for_performance,par_task_wait,par_task_wait_performance,par_task_deps_time,par_task_deps_performance
1000,10,2,37.112000,8.981821,25.889002,12.875481,46.766998,7.127533,47.222004,7.058856
1000,10,2,35.124004,9.490186,25.537998,13.052446,46.047001,7.238980,46.766998,7.127533
1000,10,2,39.862991,8.361975,26.236057,12.705161,47.509014,7.016212,47.919991,6.956039
1000,10,2,41.604996,8.011858,34.407021,9.687945,56.178986,5.933416,48.754990,6.836907
1000,10,2,36.345997,9.171116,25.280996,13.185134,46.767994,7.127381,47.319992,7.044239
1000,10,2,34.828991,9.570571,24.958998,13.355237,46.377003,7.187470,47.129005,7.072785
1000,10,2,34.475983,9.668567,26.558994,12.550675,46.248020,7.207516,47.385990,7.034428
1000,10,4,37.832977,8.810656,23.096025,14.432498,53.581001,6.221111,54.781975,6.084727
1000,10,4,35.288990,9.445817,23.079990,14.442524,62.247993,5.354925,59.103966,5.639780
1000,10,4,35.520996,9.384121,22.810995,14.612836,52.976006,6.292157,53.878010,6.186816
1000,10,4,35.405994,9.414602,23.528994,14.166919,52.985012,6.291087,53.642006,6.214036
1000,10,4,34.448029,9.676413,22.979021,14.505985,52.956043,6.294528,56.488037,5.900954
1000,10,4,35.392044,9.418312,23.531973,14.165125,53.304970,6.253325,53.795994,6.196249
1000,10,4,38.124004,8.743398,22.743992,14.655885,52.880005,6.303580,53.866997,6.188081
1000,10,6,35.478027,9.395487,34.223972,9.739761,78.909012,4.224275,80.861000,4.122300
1000,10,6,34.762024,9.589008,34.361004,9.700919,76.538979,4.355079,79.645988,4.185186
1000,10,6,34.837006,9.568369,33.801971,9.861358,76.821030,4.339090,81.320999,4.098982
1000,10,6,34.771980,9.586263,30.873983,10.796576,53.371994,6.245472,54.444016,6.122497
1000,10,6,34.722031,9.600053,34.910023,9.548356,75.915993,4.390819,78.871964,4.226259
1000,10,6,34.974991,9.530620,34.345985,9.705162,79.191032,4.209231,80.390991,4.146402
1000,10,6,40.780998,8.173741,34.472004,9.669683,77.348007,4.309527,80.244987,4.153946
1000,10,8,35.946011,9.273166,31.338007,10.636711,77.760010,4.286694,79.365967,4.199953
1000,10,8,35.093964,9.498310,31.788052,10.486120,79.427002,4.196725,81.470963,4.091437
1000,10,8,35.094978,9.498035,30.895948,10.788901,78.739044,4.233393,80.662010,4.132470
1000,10,8,36.142021,9.222875,30.876995,10.795524,79.234985,4.206896,81.726997,4.078619
1000,10,8,35.304962,9.441543,31.476974,10.589751,86.742996,3.842769,83.666977,3.984049
1000,10,8,36.184013,9.212172,31.421066,10.608594,79.290985,4.203925,82.313065,4.049580
1000,10,8,37.919014,8.790665,33.484997,9.954707,79.767021,4.178836,81.350983,4.097472
1000,10,10,38.955986,8.556665,61.242996,5.442799,186.096970,1.791181,51.257015,6.503175
1000,10,10,34.754997,9.590946,68.250000,4.884005,178.387985,1.868586,59.222996,5.628444
1000,10,10,35.757988,9.321926,67.349014,4.949342,100.880028,3.304255,99.269989,3.357846
1000,10,10,36.117970,9.229016,65.172020,5.114670,107.198059,3.109509,94.663979,3.521227
1000,10,10,36.374004,9.164054,76.778023,4.341520,106.740028,3.122852,94.114960,3.541768
1000,10,10,37.248016,8.949022,72.749016,4.581963,112.269997,2.969033,93.083916,3.580998
1000,10,10,37.341995,8.926500,63.620003,5.239442,103.474991,3.221390,96.845001,3.441926
1000,10,2,35.423004,9.410081,25.690989,12.974718,46.644001,7.146328,49.248009,6.768463
1000,10,2,34.361004,9.700919,24.969011,13.349881,46.618999,7.150161,47.327995,7.043048
1000,10,2,34.135998,9.764863,25.514008,13.064719,46.321987,7.196007,48.556984,6.864787
1000,10,2,34.709038,9.603647,24.977982,13.345087,47.111988,7.075340,47.480045,7.020493
1000,10,2,34.232998,9.737194,25.044003,13.309907,47.122002,7.073836,47.166004,7.067237
1000,10,2,35.634995,9.354101,25.856018,12.891905,46.885014,7.109592,47.641991,6.996629
1000,10,2,34.859955,9.562070,27.305008,12.207773,46.437027,7.178180,47.182022,7.064837
1000,10,4,35.874008,9.291779,23.023010,14.478270,53.399025,6.242311,55.125000,6.046864
1000,10,4,34.483971,9.666327,23.256958,14.332628,52.789986,6.314329,54.794014,6.083390
1000,10,4,34.906998,9.549184,23.019999,14.480163,54.003998,6.172382,54.766998,6.086390
1000,10,4,35.568001,9.371720,23.547024,14.156071,53.427010,6.239041,54.597019,6.105340
1000,10,4,35.577000,9.369349,22.795021,14.623076,53.202034,6.265425,54.412006,6.126099
