Matrix size,Block size,num_threads,seq_time,seq_performance,par_for_time,par_for_performance,par_task_wait,par_task_wait_performance,par_task_deps_time,par_task_deps_performance
1000,10,4,0.041319,8.067311,0.022718,14.672646,0.044408,7.506161,0.043364,7.686870
1000,10,4,0.040988,8.132462,0.020924,15.930668,0.043994,7.576789,0.042642,7.817020
1000,10,4,0.057184,5.829138,0.021000,15.872995,0.045198,7.374963,0.043175,7.720520
1000,10,4,0.041722,7.989390,0.020937,15.920804,0.044685,7.459634,0.044938,7.417623
1000,10,4,0.041893,7.956778,0.020900,15.948966,0.045274,7.362577,0.043452,7.671299
1000,10,4,0.041489,8.034263,0.020444,16.304697,0.044033,7.570082,0.043128,7.728934
1000,10,4,0.041891,7.957163,0.020763,16.054169,0.044555,7.481389,0.042733,7.800370
1000,10,4,0.041170,8.096510,0.020942,15.916952,0.044376,7.511565,0.042979,7.755725
1000,10,4,0.041799,7.974674,0.020547,16.222967,0.044197,7.541991,0.043115,7.731260
1000,10,4,0.040591,8.212001,0.020316,16.407425,0.044379,7.511061,0.043018,7.748697
1000,10,4,0.043143,7.726238,0.021311,15.641342,0.044659,7.463964,0.042821,7.784344
1000,10,4,0.041053,8.119586,0.022338,14.922234,0.044294,7.525484,0.044626,7.469488
1000,10,4,0.040537,8.222940,0.020329,16.396938,0.044772,7.445129,0.043134,7.727855
1000,10,4,0.041232,8.084338,0.020668,16.127968,0.044809,7.438974,0.042813,7.785797
1000,10,4,0.041307,8.069651,0.020452,16.298353,0.044413,7.505315,0.043115,7.731258
1000,10,4,0.041391,8.053278,0.021267,15.673738,0.044166,7.547289,0.043261,7.705182
1000,10,4,0.040892,8.151556,0.020813,16.015629,0.046242,7.208454,0.043814,7.607923
1000,10,4,0.041039,8.122352,0.021086,15.808271,0.044854,7.431521,0.043101,7.733781
1000,10,4,0.040975,8.135047,0.022235,14.991356,0.045157,7.381651,0.042685,7.809150
1000,10,4,0.040906,8.148749,0.020937,15.920804,0.044470,7.495678,0.043938,7.586461
1000,10,4,0.041587,8.015324,0.021147,15.762668,0.045069,7.396065,0.043196,7.716765
