Matrix size,Block size,num_threads,seq_time,seq_performance,par_for_time,par_for_performance,par_task_wait,par_task_wait_performance,par_task_deps_time,par_task_deps_performance
1000,10,4,0.034219,9.741178,0.023774,14.020938,0.053598,6.219139,0.056530,5.896574
1000,10,4,0.035585,9.367230,0.023556,14.150644,0.053730,6.203857,0.055643,5.990575
1000,10,4,0.037665,8.849954,0.022915,14.546509,0.052813,6.311574,0.053761,6.200281
1000,10,4,0.036182,9.212672,0.022727,14.666835,0.053850,6.190034,0.055985,5.953972
1000,10,4,0.035495,9.390999,0.022702,14.683008,0.054901,6.071535,0.054654,6.098974
1000,10,4,0.035905,9.283758,0.023625,14.109346,0.052918,6.299054,0.053711,6.206054
1000,10,4,0.034929,9.543166,0.024351,13.688691,0.052714,6.323429,0.053676,6.210099
1000,10,4,0.036675,9.088835,0.022494,14.818754,0.053975,6.175700,0.054921,6.069327
1000,10,4,0.034808,9.576348,0.023391,14.250490,0.054033,6.169072,0.053872,6.187500
1000,10,4,0.035525,9.383063,0.023145,14.401965,0.052988,6.290731,0.054343,6.133878
1000,10,4,0.034890,9.553837,0.023249,14.337552,0.054728,6.090727,0.054467,6.119915
1000,10,4,0.034549,9.648133,0.022603,14.747282,0.053581,6.221111,0.054843,6.077955
1000,10,4,0.035231,9.461366,0.023725,14.049893,0.052913,6.299648,0.054413,6.125991
1000,10,4,0.035727,9.330011,0.022864,14.578960,0.053063,6.281842,0.054041,6.168157
1000,10,4,0.035328,9.435387,0.023914,13.938831,0.054380,6.129704,0.055775,5.976391
1000,10,4,0.034297,9.719026,0.022812,14.612186,0.053528,6.227269,0.054330,6.135347
1000,10,4,0.034904,9.550003,0.023395,14.248057,0.056582,5.891151,0.054724,6.091168
1000,10,4,0.035210,9.467008,0.023246,14.339391,0.053054,6.282906,0.054429,6.124187
1000,10,4,0.039506,8.437539,0.022450,14.847810,0.053966,6.176730,0.055368,6.020324
1000,10,4,0.035773,9.318020,0.023416,14.235291,0.054061,6.165875,0.054741,6.089278
1000,10,4,0.035179,9.475361,0.023151,14.398238,0.053970,6.176273,0.054513,6.114738
